time	in/out	protocol	payload-size	total-size
1970-01-01 01:00:01.848485	out	udp:data	52	94
1970-01-01 01:00:01.878788	out	udp:data	45	87
1970-01-01 01:00:01.900000	in	udp:data	519	561
1970-01-01 01:00:01.909091	out	udp:data	39	81
1970-01-01 01:00:01.939394	out	udp:data	39	81
1970-01-01 01:00:01.969697	out	udp:data	39	81
1970-01-01 01:00:02.000000	out	udp:data	26	68
1970-01-01 01:00:02.000000	in	udp:data	486	528
1970-01-01 01:00:02.033333	out	udp:data	40	82
1970-01-01 01:00:02.066667	out	udp:data	39	81
1970-01-01 01:00:02.100000	out	udp:data	46	88
1970-01-01 01:00:02.111111	in	udp:data	488	530
1970-01-01 01:00:02.133333	out	udp:data	50	92
1970-01-01 01:00:02.166667	out	udp:data	32	74
1970-01-01 01:00:02.200000	out	udp:data	58	100
1970-01-01 01:00:02.222222	in	udp:data	532	574
1970-01-01 01:00:02.233333	out	udp:data	36	78
1970-01-01 01:00:02.266667	out	udp:data	46	88
1970-01-01 01:00:02.300000	out	udp:data	45	87
1970-01-01 01:00:02.333333	out	udp:data	41	83
1970-01-01 01:00:02.333333	in	udp:data	545	587
1970-01-01 01:00:02.366667	out	udp:data	44	86
1970-01-01 01:00:02.400000	out	udp:data	42	84
1970-01-01 01:00:02.433333	out	udp:data	44	86
1970-01-01 01:00:02.444444	in	udp:data	470	512
1970-01-01 01:00:02.466667	out	udp:data	50	92
1970-01-01 01:00:02.500000	out	udp:data	42	84
1970-01-01 01:00:02.533333	out	udp:data	32	74
1970-01-01 01:00:02.555556	in	udp:data	477	519
1970-01-01 01:00:02.566667	out	udp:data	47	89
1970-01-01 01:00:02.600000	out	udp:data	57	99
1970-01-01 01:00:02.633333	out	udp:data	54	96
1970-01-01 01:00:02.666667	out	udp:data	42	84
1970-01-01 01:00:02.666667	in	udp:data	643	685
1970-01-01 01:00:02.700000	out	udp:data	36	78
1970-01-01 01:00:02.733333	out	udp:data	41	83
1970-01-01 01:00:02.766667	out	udp:data	52	94
1970-01-01 01:00:02.777778	in	udp:data	554	596
1970-01-01 01:00:02.800000	out	udp:data	47	89
1970-01-01 01:00:02.833333	out	udp:data	35	77
1970-01-01 01:00:02.866667	out	udp:data	40	82
1970-01-01 01:00:02.888889	in	udp:data	525	567
1970-01-01 01:00:02.900000	out	udp:data	50	92
1970-01-01 01:00:02.933333	out	udp:data	47	89
1970-01-01 01:00:02.966667	out	udp:data	47	89
1970-01-01 01:00:03.000000	out	udp:data	42	84
1970-01-01 01:00:03.000000	in	udp:data	585	627
1970-01-01 01:00:03.028571	out	udp:data	58	100
1970-01-01 01:00:03.057143	out	udp:data	34	76
1970-01-01 01:00:03.085714	out	udp:data	34	76
1970-01-01 01:00:03.090909	in	udp:data	469	511
1970-01-01 01:00:03.114286	out	udp:data	39	81
1970-01-01 01:00:03.142857	out	udp:data	56	98
1970-01-01 01:00:03.171429	out	udp:data	53	95
1970-01-01 01:00:03.181818	in	udp:data	467	509
1970-01-01 01:00:03.200000	out	udp:data	30	72
1970-01-01 01:00:03.228571	out	udp:data	35	77
1970-01-01 01:00:03.257143	out	udp:data	38	80
1970-01-01 01:00:03.272727	in	udp:data	612	654
1970-01-01 01:00:03.285714	out	udp:data	28	70
1970-01-01 01:00:03.314286	out	udp:data	36	78
1970-01-01 01:00:03.342857	out	udp:data	41	83
1970-01-01 01:00:03.363636	in	udp:data	584	626
1970-01-01 01:00:03.371429	out	udp:data	39	81
1970-01-01 01:00:03.400000	out	udp:data	40	82
1970-01-01 01:00:03.428571	out	udp:data	59	101
1970-01-01 01:00:03.454545	in	udp:data	553	595
1970-01-01 01:00:03.457143	out	udp:data	62	104
1970-01-01 01:00:03.485714	out	udp:data	35	77
1970-01-01 01:00:03.514286	out	udp:data	56	98
1970-01-01 01:00:03.542857	out	udp:data	40	82
1970-01-01 01:00:03.545455	in	udp:data	598	640
1970-01-01 01:00:03.571429	out	udp:data	45	87
1970-01-01 01:00:03.600000	out	udp:data	62	104
1970-01-01 01:00:03.628571	out	udp:data	46	88
1970-01-01 01:00:03.636364	in	udp:data	589	631
1970-01-01 01:00:03.657143	out	udp:data	36	78
1970-01-01 01:00:03.685714	out	udp:data	52	94
1970-01-01 01:00:03.714286	out	udp:data	50	92
1970-01-01 01:00:03.727273	in	udp:data	430	472
1970-01-01 01:00:03.742857	out	udp:data	52	94
1970-01-01 01:00:03.771429	out	udp:data	44	86
1970-01-01 01:00:03.800000	out	udp:data	44	86
1970-01-01 01:00:03.818182	in	udp:data	516	558
1970-01-01 01:00:03.828571	out	udp:data	38	80
1970-01-01 01:00:03.857143	out	udp:data	42	84
1970-01-01 01:00:03.885714	out	udp:data	42	84
1970-01-01 01:00:03.909091	in	udp:data	442	484
1970-01-01 01:00:03.914286	out	udp:data	39	81
1970-01-01 01:00:03.942857	out	udp:data	41	83
1970-01-01 01:00:03.971429	out	udp:data	48	90
1970-01-01 01:00:04.000000	out	udp:data	38	80
1970-01-01 01:00:04.000000	in	udp:data	493	535
1970-01-01 01:00:04.024390	out	udp:data	39	81
1970-01-01 01:00:04.048780	out	udp:data	51	93
1970-01-01 01:00:04.073171	out	udp:data	39	81
1970-01-01 01:00:04.083333	in	udp:data	558	600
1970-01-01 01:00:04.097561	out	udp:data	49	91
1970-01-01 01:00:04.121951	out	udp:data	52	94
1970-01-01 01:00:04.146341	out	udp:data	46	88
1970-01-01 01:00:04.166667	in	udp:data	507	549
1970-01-01 01:00:04.170732	out	udp:data	45	87
1970-01-01 01:00:04.195122	out	udp:data	47	89
1970-01-01 01:00:04.219512	out	udp:data	36	78
1970-01-01 01:00:04.243902	out	udp:data	48	90
1970-01-01 01:00:04.250000	in	udp:data	516	558
1970-01-01 01:00:04.268293	out	udp:data	45	87
1970-01-01 01:00:04.292683	out	udp:data	48	90
1970-01-01 01:00:04.317073	out	udp:data	39	81
1970-01-01 01:00:04.333333	in	udp:data	637	679
1970-01-01 01:00:04.341463	out	udp:data	43	85
1970-01-01 01:00:04.365854	out	udp:data	29	71
1970-01-01 01:00:04.390244	out	udp:data	47	89
1970-01-01 01:00:04.414634	out	udp:data	36	78
1970-01-01 01:00:04.416667	in	udp:data	603	645
1970-01-01 01:00:04.439024	out	udp:data	43	85
1970-01-01 01:00:04.463415	out	udp:data	43	85
1970-01-01 01:00:04.487805	out	udp:data	49	91
1970-01-01 01:00:04.500000	in	udp:data	583	625
1970-01-01 01:00:04.512195	out	udp:data	38	80
1970-01-01 01:00:04.536585	out	udp:data	44	86
1970-01-01 01:00:04.560976	out	udp:data	45	87
1970-01-01 01:00:04.583333	in	udp:data	481	523
1970-01-01 01:00:04.585366	out	udp:data	39	81
1970-01-01 01:00:04.609756	out	udp:data	50	92
1970-01-01 01:00:04.634146	out	udp:data	51	93
1970-01-01 01:00:04.658537	out	udp:data	39	81
1970-01-01 01:00:04.666667	in	udp:data	549	591
1970-01-01 01:00:04.682927	out	udp:data	48	90
1970-01-01 01:00:04.707317	out	udp:data	36	78
1970-01-01 01:00:04.731707	out	udp:data	37	79
1970-01-01 01:00:04.750000	in	udp:data	534	576
1970-01-01 01:00:04.756098	out	udp:data	54	96
1970-01-01 01:00:04.780488	out	udp:data	36	78
1970-01-01 01:00:04.804878	out	udp:data	44	86
1970-01-01 01:00:04.829268	out	udp:data	52	94
1970-01-01 01:00:04.833333	in	udp:data	593	635
1970-01-01 01:00:04.853659	out	udp:data	44	86
1970-01-01 01:00:04.878049	out	udp:data	37	79
1970-01-01 01:00:04.902439	out	udp:data	48	90
1970-01-01 01:00:04.916667	in	udp:data	527	569
1970-01-01 01:00:04.926829	out	udp:data	38	80
1970-01-01 01:00:04.951220	out	udp:data	35	77
1970-01-01 01:00:04.975610	out	udp:data	46	88
1970-01-01 01:00:05.000000	out	udp:data	41	83
1970-01-01 01:00:05.000000	in	udp:data	607	649
1970-01-01 01:00:05.024390	out	udp:data	34	76
1970-01-01 01:00:05.048780	out	udp:data	45	87
1970-01-01 01:00:05.073171	out	udp:data	32	74
1970-01-01 01:00:05.097561	out	udp:data	41	83
1970-01-01 01:00:05.111111	in	udp:data	521	563
1970-01-01 01:00:05.121951	out	udp:data	45	87
1970-01-01 01:00:05.146341	out	udp:data	36	78
1970-01-01 01:00:05.170732	out	udp:data	52	94
1970-01-01 01:00:05.195122	out	udp:data	49	91
1970-01-01 01:00:05.219512	out	udp:data	42	84
1970-01-01 01:00:05.222222	in	udp:data	508	550
1970-01-01 01:00:05.243902	out	udp:data	50	92
1970-01-01 01:00:05.268293	out	udp:data	34	76
1970-01-01 01:00:05.292683	out	udp:data	44	86
1970-01-01 01:00:05.317073	out	udp:data	40	82
1970-01-01 01:00:05.333333	in	udp:data	516	558
1970-01-01 01:00:05.341463	out	udp:data	50	92
1970-01-01 01:00:05.365854	out	udp:data	45	87
1970-01-01 01:00:05.390244	out	udp:data	42	84
1970-01-01 01:00:05.414634	out	udp:data	48	90
1970-01-01 01:00:05.439024	out	udp:data	54	96
1970-01-01 01:00:05.444444	in	udp:data	356	398
1970-01-01 01:00:05.463415	out	udp:data	35	77
1970-01-01 01:00:05.487805	out	udp:data	51	93
1970-01-01 01:00:05.512195	out	udp:data	45	87
1970-01-01 01:00:05.536585	out	udp:data	52	94
1970-01-01 01:00:05.555556	in	udp:data	628	670
1970-01-01 01:00:05.560976	out	udp:data	52	94
1970-01-01 01:00:05.585366	out	udp:data	44	86
1970-01-01 01:00:05.609756	out	udp:data	41	83
1970-01-01 01:00:05.634146	out	udp:data	39	81
1970-01-01 01:00:05.658537	out	udp:data	46	88
1970-01-01 01:00:05.666667	in	udp:data	538	580
1970-01-01 01:00:05.682927	out	udp:data	42	84
1970-01-01 01:00:05.707317	out	udp:data	53	95
1970-01-01 01:00:05.731707	out	udp:data	40	82
1970-01-01 01:00:05.756098	out	udp:data	48	90
1970-01-01 01:00:05.777778	in	udp:data	434	476
1970-01-01 01:00:05.780488	out	udp:data	54	96
1970-01-01 01:00:05.804878	out	udp:data	47	89
1970-01-01 01:00:05.829268	out	udp:data	41	83
1970-01-01 01:00:05.853659	out	udp:data	47	89
1970-01-01 01:00:05.878049	out	udp:data	47	89
1970-01-01 01:00:05.888889	in	udp:data	486	528
1970-01-01 01:00:05.902439	out	udp:data	44	86
1970-01-01 01:00:05.926829	out	udp:data	51	93
1970-01-01 01:00:05.951220	out	udp:data	44	86
1970-01-01 01:00:05.975610	out	udp:data	46	88
1970-01-01 01:00:06.000000	out	udp:data	42	84
1970-01-01 01:00:06.000000	in	udp:data	495	537
1970-01-01 01:00:06.028571	out	udp:data	37	79
1970-01-01 01:00:06.057143	out	udp:data	49	91
1970-01-01 01:00:06.085714	out	udp:data	45	87
1970-01-01 01:00:06.111111	in	udp:data	481	523
1970-01-01 01:00:06.114286	out	udp:data	45	87
1970-01-01 01:00:06.142857	out	udp:data	42	84
1970-01-01 01:00:06.171429	out	udp:data	55	97
1970-01-01 01:00:06.200000	out	udp:data	42	84
1970-01-01 01:00:06.222222	in	udp:data	562	604
1970-01-01 01:00:06.228571	out	udp:data	34	76
1970-01-01 01:00:06.257143	out	udp:data	48	90
1970-01-01 01:00:06.285714	out	udp:data	43	85
1970-01-01 01:00:06.314286	out	udp:data	50	92
1970-01-01 01:00:06.333333	in	udp:data	435	477
1970-01-01 01:00:06.342857	out	udp:data	46	88
1970-01-01 01:00:06.371429	out	udp:data	41	83
1970-01-01 01:00:06.400000	out	udp:data	51	93
1970-01-01 01:00:06.428571	out	udp:data	29	71
1970-01-01 01:00:06.444444	in	udp:data	603	645
1970-01-01 01:00:06.457143	out	udp:data	51	93
1970-01-01 01:00:06.485714	out	udp:data	39	81
1970-01-01 01:00:06.514286	out	udp:data	51	93
1970-01-01 01:00:06.542857	out	udp:data	57	99
1970-01-01 01:00:06.555556	in	udp:data	534	576
1970-01-01 01:00:06.571429	out	udp:data	35	77
1970-01-01 01:00:06.600000	out	udp:data	39	81
1970-01-01 01:00:06.628571	out	udp:data	44	86
1970-01-01 01:00:06.657143	out	udp:data	34	76
1970-01-01 01:00:06.666667	in	udp:data	541	583
1970-01-01 01:00:06.685714	out	udp:data	38	80
1970-01-01 01:00:06.714286	out	udp:data	56	98
1970-01-01 01:00:06.742857	out	udp:data	38	80
1970-01-01 01:00:06.771429	out	udp:data	41	83
1970-01-01 01:00:06.777778	in	udp:data	588	630
1970-01-01 01:00:06.800000	out	udp:data	48	90
1970-01-01 01:00:06.828571	out	udp:data	39	81
1970-01-01 01:00:06.857143	out	udp:data	43	85
1970-01-01 01:00:06.885714	out	udp:data	44	86
1970-01-01 01:00:06.888889	in	udp:data	496	538
1970-01-01 01:00:06.914286	out	udp:data	39	81
1970-01-01 01:00:06.942857	out	udp:data	35	77
1970-01-01 01:00:06.971429	out	udp:data	50	92
1970-01-01 01:00:07.000000	out	udp:data	41	83
1970-01-01 01:00:07.000000	in	udp:data	426	468
1970-01-01 01:00:07.027778	out	udp:data	39	81
1970-01-01 01:00:07.055556	out	udp:data	47	89
1970-01-01 01:00:07.083333	out	udp:data	42	84
1970-01-01 01:00:07.111111	out	udp:data	49	91
1970-01-01 01:00:07.125000	in	udp:data	449	491
1970-01-01 01:00:07.138889	out	udp:data	47	89
1970-01-01 01:00:07.166667	out	udp:data	50	92
1970-01-01 01:00:07.194444	out	udp:data	52	94
1970-01-01 01:00:07.222222	out	udp:data	36	78
1970-01-01 01:00:07.250000	out	udp:data	50	92
1970-01-01 01:00:07.250000	in	udp:data	538	580
1970-01-01 01:00:07.277778	out	udp:data	49	91
1970-01-01 01:00:07.305556	out	udp:data	34	76
1970-01-01 01:00:07.333333	out	udp:data	47	89
1970-01-01 01:00:07.361111	out	udp:data	43	85
1970-01-01 01:00:07.375000	in	udp:data	641	683
1970-01-01 01:00:07.388889	out	udp:data	43	85
1970-01-01 01:00:07.416667	out	udp:data	55	97
1970-01-01 01:00:07.444444	out	udp:data	43	85
1970-01-01 01:00:07.472222	out	udp:data	47	89
1970-01-01 01:00:07.500000	out	udp:data	48	90
1970-01-01 01:00:07.500000	in	udp:data	581	623
1970-01-01 01:00:07.527778	out	udp:data	40	82
1970-01-01 01:00:07.555556	out	udp:data	48	90
1970-01-01 01:00:07.583333	out	udp:data	35	77
1970-01-01 01:00:07.611111	out	udp:data	37	79
1970-01-01 01:00:07.625000	in	udp:data	498	540
1970-01-01 01:00:07.638889	out	udp:data	56	98
1970-01-01 01:00:07.666667	out	udp:data	45	87
1970-01-01 01:00:07.694444	out	udp:data	47	89
1970-01-01 01:00:07.722222	out	udp:data	46	88
1970-01-01 01:00:07.750000	out	udp:data	51	93
1970-01-01 01:00:07.750000	in	udp:data	565	607
1970-01-01 01:00:07.777778	out	udp:data	51	93
1970-01-01 01:00:07.805556	out	udp:data	43	85
1970-01-01 01:00:07.833333	out	udp:data	50	92
1970-01-01 01:00:07.861111	out	udp:data	34	76
1970-01-01 01:00:07.875000	in	udp:data	550	592
1970-01-01 01:00:07.888889	out	udp:data	45	87
1970-01-01 01:00:07.916667	out	udp:data	34	76
1970-01-01 01:00:07.944444	out	udp:data	52	94
1970-01-01 01:00:07.972222	out	udp:data	35	77
1970-01-01 01:00:08.000000	out	udp:data	36	78
1970-01-01 01:00:08.000000	in	udp:data	491	533
1970-01-01 01:00:08.032258	out	udp:data	37	79
1970-01-01 01:00:08.064516	out	udp:data	47	89
1970-01-01 01:00:08.090909	in	udp:data	577	619
1970-01-01 01:00:08.096774	out	udp:data	48	90
1970-01-01 01:00:08.129032	out	udp:data	47	89
1970-01-01 01:00:08.161290	out	udp:data	36	78
1970-01-01 01:00:08.181818	in	udp:data	482	524
1970-01-01 01:00:08.193548	out	udp:data	44	86
1970-01-01 01:00:08.225806	out	udp:data	38	80
1970-01-01 01:00:08.258065	out	udp:data	27	69
1970-01-01 01:00:08.272727	in	udp:data	505	547
1970-01-01 01:00:08.290323	out	udp:data	40	82
1970-01-01 01:00:08.322581	out	udp:data	52	94
1970-01-01 01:00:08.354839	out	udp:data	40	82
1970-01-01 01:00:08.363636	in	udp:data	532	574
1970-01-01 01:00:08.387097	out	udp:data	29	71
1970-01-01 01:00:08.419355	out	udp:data	46	88
1970-01-01 01:00:08.451613	out	udp:data	31	73
1970-01-01 01:00:08.454545	in	udp:data	494	536
1970-01-01 01:00:08.483871	out	udp:data	40	82
1970-01-01 01:00:08.516129	out	udp:data	61	103
1970-01-01 01:00:08.545455	in	udp:data	622	664
1970-01-01 01:00:08.548387	out	udp:data	45	87
1970-01-01 01:00:08.580645	out	udp:data	47	89
1970-01-01 01:00:08.612903	out	udp:data	40	82
1970-01-01 01:00:08.636364	in	udp:data	501	543
1970-01-01 01:00:08.645161	out	udp:data	51	93
1970-01-01 01:00:08.677419	out	udp:data	55	97
1970-01-01 01:00:08.709677	out	udp:data	47	89
1970-01-01 01:00:08.727273	in	udp:data	415	457
1970-01-01 01:00:08.741935	out	udp:data	52	94
1970-01-01 01:00:08.774194	out	udp:data	57	99
1970-01-01 01:00:08.806452	out	udp:data	42	84
1970-01-01 01:00:08.818182	in	udp:data	476	518
1970-01-01 01:00:08.838710	out	udp:data	49	91
1970-01-01 01:00:08.870968	out	udp:data	47	89
1970-01-01 01:00:08.903226	out	udp:data	39	81
1970-01-01 01:00:08.909091	in	udp:data	438	480
1970-01-01 01:00:08.935484	out	udp:data	38	80
1970-01-01 01:00:08.967742	out	udp:data	40	82
1970-01-01 01:00:09.000000	out	udp:data	51	93
1970-01-01 01:00:09.000000	in	udp:data	468	510
1970-01-01 01:00:09.023256	out	udp:data	35	77
1970-01-01 01:00:09.046512	out	udp:data	42	84
1970-01-01 01:00:09.069767	out	udp:data	32	74
1970-01-01 01:00:09.093023	out	udp:data	46	88
1970-01-01 01:00:09.116279	out	udp:data	44	86
1970-01-01 01:00:09.125000	in	udp:data	513	555
1970-01-01 01:00:09.139535	out	udp:data	37	79
1970-01-01 01:00:09.162791	out	udp:data	41	83
1970-01-01 01:00:09.186047	out	udp:data	28	70
1970-01-01 01:00:09.209302	out	udp:data	31	73
1970-01-01 01:00:09.232558	out	udp:data	51	93
1970-01-01 01:00:09.250000	in	udp:data	490	532
1970-01-01 01:00:09.255814	out	udp:data	42	84
1970-01-01 01:00:09.279070	out	udp:data	40	82
1970-01-01 01:00:09.302326	out	udp:data	34	76
1970-01-01 01:00:09.325581	out	udp:data	41	83
1970-01-01 01:00:09.348837	out	udp:data	53	95
1970-01-01 01:00:09.372093	out	udp:data	47	89
1970-01-01 01:00:09.375000	in	udp:data	566	608
1970-01-01 01:00:09.395349	out	udp:data	41	83
1970-01-01 01:00:09.418605	out	udp:data	46	88
1970-01-01 01:00:09.441860	out	udp:data	44	86
1970-01-01 01:00:09.465116	out	udp:data	56	98
1970-01-01 01:00:09.488372	out	udp:data	55	97
1970-01-01 01:00:09.500000	in	udp:data	502	544
1970-01-01 01:00:09.511628	out	udp:data	48	90
1970-01-01 01:00:09.534884	out	udp:data	38	80
1970-01-01 01:00:09.558140	out	udp:data	42	84
1970-01-01 01:00:09.581395	out	udp:data	55	97
1970-01-01 01:00:09.604651	out	udp:data	38	80
1970-01-01 01:00:09.625000	in	udp:data	570	612
1970-01-01 01:00:09.627907	out	udp:data	50	92
1970-01-01 01:00:09.651163	out	udp:data	31	73
1970-01-01 01:00:09.674419	out	udp:data	49	91
1970-01-01 01:00:09.697674	out	udp:data	41	83
1970-01-01 01:00:09.720930	out	udp:data	46	88
1970-01-01 01:00:09.744186	out	udp:data	32	74
1970-01-01 01:00:09.750000	in	udp:data	525	567
1970-01-01 01:00:09.767442	out	udp:data	37	79
1970-01-01 01:00:09.790698	out	udp:data	58	100
1970-01-01 01:00:09.813953	out	udp:data	54	96
1970-01-01 01:00:09.837209	out	udp:data	39	81
1970-01-01 01:00:09.860465	out	udp:data	52	94
1970-01-01 01:00:09.875000	in	udp:data	448	490
1970-01-01 01:00:09.883721	out	udp:data	34	76
1970-01-01 01:00:09.906977	out	udp:data	62	104
1970-01-01 01:00:09.930233	out	udp:data	47	89
1970-01-01 01:00:09.953488	out	udp:data	37	79
1970-01-01 01:00:09.976744	out	udp:data	43	85
1970-01-01 01:00:10.000000	out	udp:data	36	78
1970-01-01 01:00:10.000000	in	udp:data	469	511
1970-01-01 01:00:10.034483	out	udp:data	36	78
1970-01-01 01:00:10.068966	out	udp:data	33	75
1970-01-01 01:00:10.100000	in	udp:data	514	556
1970-01-01 01:00:10.103448	out	udp:data	54	96
1970-01-01 01:00:10.137931	out	udp:data	48	90
1970-01-01 01:00:10.172414	out	udp:data	44	86
1970-01-01 01:00:10.200000	in	udp:data	476	518
1970-01-01 01:00:10.206897	out	udp:data	59	101
1970-01-01 01:00:10.241379	out	udp:data	44	86
1970-01-01 01:00:10.275862	out	udp:data	53	95
1970-01-01 01:00:10.300000	in	udp:data	418	460
1970-01-01 01:00:10.310345	out	udp:data	58	100
1970-01-01 01:00:10.344828	out	udp:data	45	87
1970-01-01 01:00:10.379310	out	udp:data	56	98
1970-01-01 01:00:10.400000	in	udp:data	502	544
1970-01-01 01:00:10.413793	out	udp:data	34	76
1970-01-01 01:00:10.448276	out	udp:data	30	72
1970-01-01 01:00:10.482759	out	udp:data	41	83
1970-01-01 01:00:10.500000	in	udp:data	455	497
1970-01-01 01:00:10.517241	out	udp:data	46	88
1970-01-01 01:00:10.551724	out	udp:data	34	76
1970-01-01 01:00:10.586207	out	udp:data	44	86
1970-01-01 01:00:10.600000	in	udp:data	447	489
1970-01-01 01:00:10.620690	out	udp:data	24	66
1970-01-01 01:00:10.655172	out	udp:data	29	71
1970-01-01 01:00:10.689655	out	udp:data	37	79
1970-01-01 01:00:10.700000	in	udp:data	543	585
1970-01-01 01:00:10.724138	out	udp:data	49	91
1970-01-01 01:00:10.758621	out	udp:data	42	84
1970-01-01 01:00:10.793103	out	udp:data	53	95
1970-01-01 01:00:10.800000	in	udp:data	500	542
1970-01-01 01:00:10.827586	out	udp:data	33	75
1970-01-01 01:00:10.862069	out	udp:data	33	75
1970-01-01 01:00:10.896552	out	udp:data	46	88
1970-01-01 01:00:10.900000	in	udp:data	519	561
1970-01-01 01:00:10.931034	out	udp:data	41	83
1970-01-01 01:00:10.965517	out	udp:data	47	89
1970-01-01 01:00:11.000000	out	udp:data	41	83
1970-01-01 01:00:11.000000	in	udp:data	559	601
1970-01-01 01:00:11.032258	out	udp:data	47	89
1970-01-01 01:00:11.064516	out	udp:data	46	88
1970-01-01 01:00:11.096774	out	udp:data	31	73
1970-01-01 01:00:11.125000	in	udp:data	520	562
1970-01-01 01:00:11.129032	out	udp:data	49	91
1970-01-01 01:00:11.161290	out	udp:data	35	77
1970-01-01 01:00:11.193548	out	udp:data	50	92
1970-01-01 01:00:11.225806	out	udp:data	40	82
1970-01-01 01:00:11.250000	in	udp:data	542	584
1970-01-01 01:00:11.258065	out	udp:data	35	77
1970-01-01 01:00:11.290323	out	udp:data	52	94
1970-01-01 01:00:11.322581	out	udp:data	46	88
1970-01-01 01:00:11.354839	out	udp:data	49	91
1970-01-01 01:00:11.375000	in	udp:data	437	479
1970-01-01 01:00:11.387097	out	udp:data	51	93
1970-01-01 01:00:11.419355	out	udp:data	34	76
